date,time,site,lat,long ,depth_m,NO3_mg_L,PO4_ug_L,NH4_mg_L,PP_mg_L,TP_mg_L,TN_mg_L,Chla_ug_L,SS_mg_L,NVSS_mg_L,Notes,
14-May-15,12:00,B1,39.58205,-84.75641,1.5,4.2100,7.8692,0.1084,0.0873,0.084,4.688,15.65,26.65,18.50,set time to 12:00,
14-May-15,12:00,B2,39.5771,-84.75291,2.5,4.3200,7.6916,0.0497,0.0676,0.120,5.322,56.40,19.95,10.70,set time to 12:00,
14-May-15,12:00,B3,39.57208,-84.74863,4.5,4.3300,7.6262,0.0337,0.0697,0.098,5.610,35.55,15.45,5.70,set time to 12:00,
14-May-15,12:00,B4,39.5672,-84.7444,7.0,4.3200,0.7570,0.0254,0.0637,0.100,5.596,54.90,13.05,3.85,set time to 12:00,
14-May-15,12:00,B5,39.5634,-84.7406,7.0,4.3300,8.6028,0.0377,0.0629,0.109,5.610,42.70,12.75,3.80,set time to 12:00,
14-May-15,12:00,B6,39.55779,-84.7358,8.0,4.4300,8.9486,0.0524,0.0769,0.094,5.754,49.90,13.15,3.75,set time to 12:00,
19-May-15,12:00,B1,39.58205,-84.75641,1.5,3.8000,2.0748,0.0752,0.0831,0.072,5.624,41.25,25.65,14.60,set time to 12:00,
19-May-15,12:00,B2,39.5771,-84.75291,2.5,3.4700,8.7196,0.1413,0.0912,0.062,4.875,59.75,24.90,11.60,set time to 12:00,
19-May-15,12:00,B3,39.57208,-84.74863,4.5,3.5400,13.0701,0.0515,0.0569,0.061,4.818,38.05,14.65,5.40,set time to 12:00,
19-May-15,12:00,B4,39.5672,-84.7444,7.0,3.8000,2.1121,0.0721,0.0560,0.059,4.904,53.90,15.55,5.50,set time to 12:00,
19-May-15,12:00,B5,39.5634,-84.7406,7.0,3.7900,7.3692,0.0487,0.0554,0.074,4.861,38.70,14.20,5.05,set time to 12:00,
19-May-15,12:00,B6,39.55779,-84.7358,8.0,3.8100,1.7570,0.0638,0.0503,0.048,NA,40.15,13.70,5.90,set time to 12:00,
22-May-15,12:00,B1,39.58205,-84.75641,1.5,3.4200,8.3458,0.1601,0.0658,0.139,4.270,12.90,17.10,10.70,set time to 12:00,
22-May-15,12:00,B2,39.5771,-84.75291,2.5,3.5600,8.9766,0.1619,0.0569,0.056,4.429,16.55,12.40,6.30,set time to 12:00,
22-May-15,12:00,B3,39.57208,-84.74863,4.5,3.6300,7.3598,0.0922,0.0664,0.059,6.489,23.80,13.60,6.70,set time to 12:00,
22-May-15,12:00,B4,39.5672,-84.7444,7.0,3.6800,7.1262,0.0914,0.0712,0.060,4.674,27.60,11.95,4.35,set time to 12:00,
22-May-15,12:00,B5,39.5634,-84.7406,7.0,3.7200,8.0234,0.0861,0.0748,0.061,4.818,22.50,10.70,3.60,set time to 12:00,
22-May-15,12:00,B6,39.55779,-84.7358,8.0,3.7200,7.9159,0.0931,0.0602,0.079,4.775,11.10,9.60,3.35,set time to 12:00,
29-May-15,12:00,B1,39.58205,-84.75641,1.5,2.5400,10.5234,0.0588,0.1153,0.066,3.795,47.25,27.45,16.50,set time to 12:00,
29-May-15,12:00,B2,39.5771,-84.75291,2.5,2.8900,7.7570,0.0392,0.0781,0.067,4.025,49.10,12.75,3.75,set time to 12:00,
29-May-15,12:00,B3,39.57208,-84.74863,4.5,3.0900,7.8411,0.0375,0.0572,0.081,4.141,55.95,11.85,2.45,set time to 12:00,
29-May-15,12:00,B4,39.5672,-84.7444,7.0,3.1100,2.3271,0.0316,0.0581,0.081,4.011,48.35,9.90,2.75,set time to 12:00,
29-May-15,12:00,B5,39.5634,-84.7406,7.0,3.1700,8.4346,0.0577,0.0593,0.066,4.141,53.35,11.50,3.40,set time to 12:00,
29-May-15,12:00,B6,39.55779,-84.7358,8.0,3.1700,7.2804,0.0598,0.0479,0.142,3.953,44.20,12.70,5.25,set time to 12:00,
5-Jun-15,12:00,B1,39.58205,-84.75641,1.5,2.0800,12.8131,0.0470,0.0992,0.099,3.881,120.95,22.60,8.45,set time to 12:00,
5-Jun-15,12:00,B2,39.5771,-84.75291,2.5,2.2400,9.3551,0.0699,0.0676,0.063,3.348,41.15,16.75,7.90,set time to 12:00,
5-Jun-15,12:00,B3,39.57208,-84.74863,4.5,2.4200,10.4766,0.0585,0.0778,0.060,3.795,69.00,12.70,25.90,set time to 12:00,
5-Jun-15,12:00,B4,39.5672,-84.7444,7.0,2.5100,7.6168,0.0629,0.0635,0.073,3.536,47.50,12.25,3.65,set time to 12:00,
5-Jun-15,12:00,B5,39.5634,-84.7406,7.0,2.6050,6.8154,0.0414,0.0444,0.060,3.493,40.70,9.35,2.80,set time to 12:00,
5-Jun-15,12:00,B6,39.55779,-84.7358,8.0,2.6000,6.9673,0.0451,0.0453,0.134,3.565,35.05,9.70,3.70,set time to 12:00,
11-Jun-15,12:00,B1,39.58205,-84.75641,1.5,1.7300,11.1308,0.0498,0.0769,0.097,3.219,99.30,20.80,9.75,set time to 12:00,
11-Jun-15,12:00,B2,39.5771,-84.75291,2.5,1.7800,11.1308,0.0491,0.0614,0.101,3.060,57.35,16.15,6.30,set time to 12:00,
11-Jun-15,12:00,B3,39.57208,-84.74863,4.5,1.8600,9.5421,0.0546,0.0578,0.083,3.291,46.40,9.85,2.70,set time to 12:00,
11-Jun-15,12:00,B4,39.5672,-84.7444,7.0,1.9500,8.6449,0.0817,0.0590,0.055,3.147,40.75,9.60,3.15,set time to 12:00,
11-Jun-15,12:00,B5,39.5634,-84.7406,7.0,1.9200,8.3879,0.0857,0.0536,0.064,2.960,37.40,8.75,2.25,set time to 12:00,
11-Jun-15,12:00,B6,39.55779,-84.7358,8.0,1.9600,8.5093,0.0835,0.0512,0.119,3.118,34.70,7.75,2.10,set time to 12:00,
17-Jun-15,12:00,B1,39.58205,-84.75641,1.5,3.0900,8.6495,0.1014,0.0688,0.101,4.098,63.75,14.45,7.45,set time to 12:00,
17-Jun-15,12:00,B2,39.5771,-84.75291,2.5,2.1100,8.5280,0.0462,0.0703,0.079,3.118,60.80,11.70,4.20,set time to 12:00,
