Longitude,Latitude,depth_m, 14.May.15, 19.May.15, 22.May.15, 29.May.15, 5.Jun.15, 11.Jun.15, 17.Jun.15, 18.Jun.15, 19.Jun.15, 26.Jun.15, 27.Jun.15, 2.Jul.15, 10.Jul.15, 16.Jul.15, 24.Jul.15, 30.Jul.15, 7.Aug.15, 14.Aug.15, 20.Aug.15, 28.Aug.15, 3.Sep.15, 10.Sep.15, 16.Sep.15, 24.Sep.15, 1.Oct.15, 8.Oct.15, 15.Oct.15, 23.Oct.15, 30.Oct.15, 5.Nov.15, 12.Nov.15, 19.Nov.15, 1.Dec.15
-9432940,4774580,7.88,49.4891,40.3647,12.0003,44.7947,35.9780,35.2469,64.5567,76.7962,61.1798,30.4564,29.5111,40.8213,66.1125,41.3275,54.5627,58.6750,73.3942,64.6974,47.0695,77.9027,77.2472,82.2898,92.5893,67.9618,85.4626,77.8122,71.1851,67.5770,51.2363,48.8533,30.7297,30.8770,30.9028
-9432920,4774580,7.90,49.5548,40.3311,11.8559,44.6992,35.8316,35.1610,64.6521,76.9631,61.1589,30.2311,29.6048,40.6343,66.2373,41.1398,54.4991,58.5118,73.3546,64.5645,47.1228,77.7831,76.6922,82.2985,92.6906,67.2043,85.5639,77.6592,71.2538,67.4707,51.4089,48.7743,30.8777,30.8572,30.9913
-9432900,4774580,7.91,49.6139,40.3007,11.7261,44.6134,35.6995,35.0835,64.7378,77.1135,61.1402,30.0285,29.6891,40.4660,66.3497,40.9708,54.4415,58.3649,73.3191,64.4444,47.1707,77.6752,76.1935,82.3066,92.7811,66.5221,85.6552,77.5214,71.3151,67.3747,51.5638,48.7030,31.0107,30.8394,31.0707
-9432880,4774580,7.93,49.6662,40.2737,11.6115,44.5376,35.5825,35.0147,64.8134,77.2466,61.1236,29.8495,29.7638,40.3173,66.4492,40.8214,54.3901,58.2349,73.2879,64.3379,47.2130,77.5799,75.7535,82.3138,92.8604,65.9186,85.7359,77.3995,71.3689,67.2896,51.7002,48.6397,31.1280,30.8234,31.1407
-9432860,4774580,7.94,49.7113,40.2504,11.5125,44.4722,35.4810,34.9550,64.8787,77.3619,61.1094,29.6950,29.8283,40.1888,66.5354,40.6923,54.3454,58.1225,73.2609,64.2455,47.2494,77.4973,75.3739,82.3202,92.9284,65.3967,85.8058,77.2941,71.4150,67.2157,51.8177,48.5848,31.2293,30.8096,31.2011
-9432840,4774580,7.95,49.7492,40.2306,11.4295,44.4173,35.3956,34.9047,64.9334,77.4589,61.0974,29.5653,29.8826,40.0808,66.6079,40.5838,54.3076,58.0281,73.2384,64.1676,47.2799,77.4280,75.0558,82.3257,92.9849,64.9580,85.8645,77.2055,71.4534,67.1534,51.9160,48.5385,31.3142,30.7979,31.2516
-9432820,4774580,7.96,49.7798,40.2146,11.3625,44.3731,35.3264,34.8639,64.9775,77.5374,61.0878,29.4607,29.9264,39.9937,66.6666,40.4961,54.2768,57.9518,73.2203,64.1044,47.3044,77.3719,74.7993,82.3302,93.0302,64.6034,85.9120,77.1339,71.4842,67.1029,51.9951,48.5010,31.3826,30.7885,31.2923
-9432800,4774580,7.97,49.8032,40.2024,11.3115,44.3394,35.2736,34.8328,65.0112,77.5973,61.0804,29.3809,29.9599,39.9272,66.7113,40.4293,54.2532,57.8936,73.2065,64.0562,47.3231,77.3291,74.6040,82.3337,93.0646,64.3329,85.9482,77.0792,71.5075,67.0643,52.0553,48.4723,31.4348,30.7812,31.3233
-9432780,4774580,7.98,49.8193,40.1940,11.2762,44.3160,35.2371,34.8112,65.0344,77.6388,61.0753,29.3257,29.9831,39.8812,66.7423,40.3830,54.2368,57.8533,73.1969,64.0228,47.3361,77.2995,74.4688,82.3361,93.0883,64.1458,85.9733,77.0414,71.5236,67.0376,52.0969,48.4525,31.4709,30.7762,31.3448
-9432760,4774580,7.98,49.8285,40.1892,11.2562,44.3028,35.2166,34.7991,65.0476,77.6621,61.0724,29.2945,29.9961,39.8552,66.7597,40.3569,54.2278,57.8305,73.1915,64.0041,47.3434,77.2828,74.3920,82.3374,93.1021,64.0402,85.9874,77.0201,71.5330,67.0227,52.1207,48.4414,31.4914,30.7734,31.3570
