"lagoslakeid","hu4_zoneid","iws_zoneid","nhd_lat","nhd_long","lake_area_ha","maxdepth","iws_areaha","lakeconnectivity","iws_slope_mean","iws_urban","iws_crop","iws_pasture","iws_forest","iws_lakes_lakes4ha_overlapping_area_pct","iws_lakes_lakes4ha_isolated_overlapping_area_pct","iws_lakes_lakes4ha_drlakestream_overlapping_area_pct","iws_streamdensity_headwaters_density_mperha","iws_streamdensity_midreaches_density_mperha","iws_streamdensity_rivers_density_mperha","hu4_baseflowindex_mean","hu4_runoff_mean","hu4_dep_totaln_1990_mean","hu4_dep_totaln_2010_mean","hu4_dep_change","hu4_prism_ppt_30yr_normal_800mm2_annual_mean","hu4_prism_tmean_30yr_normal_800mm2_annual_mean","hu4_tmean_1990","hu4_tmean_2011","hu4_tmean_change","hu4_ppt_1990","hu4_ppt_2011","hu4_ppt_change","hu4_damdensity_pointspersqkm","hu4_roaddensity_density_mperha","hu4_slope_mean","hu4_urban","hu4_crop","hu4_pasture","hu4_forest","hu4_lakes_lakes4ha_avgsize_ha","hu4_lakes_lakes4ha_overlapping_area_pct","hu4_lakes_lakes4ha_isolated_overlapping_area_pct","hu4_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu4_latewisconsinglaciation_glaciation"
8501,"HU4_1","IWS_38050",47.105303,-68.723707,54.72094143,10.0584,5231.39690659443,"DR_LakeStream",7.4612,0,0,0,91.05,0.207,0,0,4.6492,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7624,"HU4_1","IWS_38133",47.056248,-68.363866,3276.139574,37.1856,18279.9663248775,"DR_LakeStream",3.258,0,0,0,73.01,0.072,0,0,6.6995,0.0654,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
8255,"HU4_1","IWS_38026",46.629483,-69.37345,974.8393054,17.6784,50925.2727662828,"DR_LakeStream",3.5981,0,0,0,65.04,0,0,0,5.3501,0.7595,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
8453,"HU4_1","IWS_38028",46.377967,-69.33521,5365.25698,37.7952,43055.3895564578,"DR_LakeStream",3.3257,0,0,0,73.07,0.0417,0,0.0107,5.8901,1e-04,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7736,"HU4_1","IWS_38049",47.112776,-68.334272,1000.300054,14.0208,14371.3987859076,"DR_LakeStream",3.3428,1.34,17.47,7.03,47.81,0.1657,0,0.0403,7.7466,0.6014,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7956,"HU4_1","IWS_38024",46.829164,-68.770994,1039.98527,14.0208,24664.2050189706,"DR_LakeStream",7.8837,0,0,0.02,91.18,0.0476,0,0.0235,6.3158,0.1624,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7483,"HU4_1","IWS_37911",47.191851,-68.475583,7.383506756,3.6576,412.214891791222,"DR_Stream",6.5469,3,37.05,9.31,40.79,1.0366,0,0,4.1794,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7710,"HU4_1","IWS_38009",46.095074,-68.031658,463.3658919,14.9352,4277.52737469597,"DR_Stream",6.2649,0,0,0,90.51,0,0,0,4.4479,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
8319,"HU4_1","IWS_37875",47.024242,-68.21115,635.3602412,11.5824,7704.59141795893,"DR_LakeStream",3.5449,0.7,0,0.88,71.44,0,0,0,6.9115,3e-04,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
8297,"HU4_1","IWS_38072",46.618354,-68.005937,34.01512808,2.7432,372.627312973149,"Headwater",8.1633,1.33,9.21,1.26,80.1,0,0,0,0.0169,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7668,"HU4_1","IWS_37901",46.097245,-67.926898,98.48462013,32.6136,721.737958046991,"DR_Stream",3.8663,0.36,3.98,0.59,75.67,0,0,0,6.017,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7654,"HU4_1","IWS_38036",46.650792,-68.030219,146.8980117,4.572,3345.58938410057,"DR_LakeStream",2.7043,1.96,21.29,4.34,49.89,0,0,0,7.7366,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
7876,"HU4_1","IWS_38117",46.884487,-67.838118,40.72591696,15.24,961.73414289076,"DR_Stream",2.0073,2.61,63.04,5.75,17.26,0,0,0,3.0994,0,0,51.5325,22.633,3.7653,1.7825,-0.0730899999999988,1058.3433,3.6599,405.411208773036,453.381200336597,0.0256414649758146,9747.80130231148,10326.0377474808,0.278988742817783,0.002,7.5734,3.7375,0.6096,4.8414,0.9925,69.974,109.5376,2.1273,9e-04,1.5592,"Glaciated"
